"Timestamp","Are you a university student?","Are you Taking your online Classes during this COVID-19 pandemic?","Are your classes are through the live sessions or recorded?","What is your age?","Gender?","From Which Country you Belong?","Your institute is private or government?","In which Institute you are studying?","Degree Level?","Your Program Name?","Which Tool you are using during online learning?","Which platform your tool support?","Is the lecture's material shared with you well after the Online session?","Are you Facing Internet issue during your online class?","Does your tool support recording while live session?","Does your tool shows live subtitles during lecture?","Does Tool has feature for Assignment submission?","Does Assignment feature contain grading option?","Does tool have quiz submission option?","Does quiz feature contain evaluation option?","Is chat room is available in your tool?  ","Is there any feature available for your attendance?","Does your tool have a whiteboard feature?","Does your tool have a one-to-one communication (Private chat with the instructor or student) feature?","Does your tool have a Screenshare feature?","Does your tool have a scheduling or reminder feature?","Does your tool support an online quiz?","Does your tool have the feature ""Raise hand"" during the live session for the question?","Have your recived notification from tool when your class has been started?","Where you get help for your study in addition to live sessions?","Rate your Answer [Are you Satisfied from your Classes?]","Rate your Answer [Is the specific tool is availble easily?]","Rate your Answer [How good Audio and Video Quality of the Online Class?]","Rate your Answer [How good your internet connection is while taking online class?]","Rate your Answer [How often you feel interruption during your online class?]","Your Suggestions regarding the improvement of Online Classes?","If You Want to add any feature, in a specific Tool? Please Mention.","How to improve this Survey form? ","","","","","","","",""
"2020/05/02 10:55:50 pm GMT+5","Yes","Yes","Live Session","24-28","Male","Pakistan","Government","CIIT","Graduate","Computer Science","Microsoft Teams","Mac","Yes","Yes","Yes","Maybe","Maybe","No","Maybe","Maybe","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","Lynda","2","1","1","2","1","","Audio/Video Calling;Live subtitles;Chat Room;Sceduling of Classes;One to one Communication","","","","","","","","",""
"2020/05/02 10:56:58 pm GMT+5","Yes","Yes","Live Session","17-23","Female","Pakistan","Private"," Comsats university islamabad","Graduate","Computer Science","Microsoft Teams","Windows","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Coursera","4","4","3","1","1","","White Board;Chat Room;One to one Communication","","","","","","","","",""
"2020/05/02 10:57:17 pm GMT+5","Yes","Yes","Live Session","17-23","Male","Pakistan","Private","CIIT,  Islamabad ","Graduate","Computer Science","Microsoft Teams","Windows","Yes","Yes","No","Maybe","Maybe","Yes","Maybe","Maybe","Yes","No","Yes","No","No","Yes","Yes","No","Yes","YouTube","1","3","2","1","2","","Lecture materials;Raise Hand during session;One to one Communication;Assignment Upload/Evaluation","","","","","","","","",""
"2020/05/02 10:57:22 pm GMT+5","Yes","Yes","Live Session","17-23","Female","Pakistan","Government","COMSATS","Graduate","Computer Science","Microsoft Teams","Windows","Yes","Yes","Yes","No","Yes","Yes","Yes","Maybe","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","YouTube","2","3","2","1","1","","Live subtitles;Attendance;Raise Hand during session","","","","","","","","",""
"2020/05/02 10:57:24 pm GMT+5","Yes","Yes","Recorded","17-23","Female","Pakistan","Private","International islamic university","Undergraduate","Envirnonmental Science","Zoom","Android","Yes","Yes","Yes","Maybe","No","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","YouTube","1","3","2","1","1"," no ","Audio/Video Calling","        ","","","","","","","",""
"2020/05/02 10:57:24 pm GMT+5","Yes","Yes","Live Session","24-28","Male","Pakistan","Government","COMSATS University Islamabad","Graduate","Computer Science","Microsoft Teams","Windows;Android;IOS;Mac","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","YouTube","4","5","4","4","2","","Attendance;Quiz Upload/Evaluation","","","","","","","","",""
"2020/05/02 10:59:02 pm GMT+5","Yes","Yes","Live Session","17-23","Male","Pakistan","Government","Comsats university islamabad","Undergraduate","Electrical Engineering","Zoom;Microsoft Teams","Android","Yes","Yes","Yes","No","Yes","Yes","Maybe","Maybe","Yes","No","No","Yes","Yes","Yes","No","Yes","No","YouTube","4","4","4","3","2","","White Board","","","","","","","","",""
"2020/05/02 10:59:24 pm GMT+5","Yes","Yes","Live Session","24-28","Female","Pakistan","Government","Comsats University Islamabad ","Graduate","Software Engineering ","Microsoft Teams","Windows","Yes","Yes","No","Maybe","Maybe","Yes","Maybe","Maybe","Yes","No","No","Yes","No","Yes","No","No","Yes","Coursera","4","4","3","3","2","","Attendance","","","","","","","","",""
"2020/05/02 11:00:11 pm GMT+5","Yes","Yes","Recorded","17-23","Female","Pakistan","Private","International Islamic University Islamabad","Undergraduate","Computer Science","Zoom","Windows;Android;IOS","No","Yes","Yes","Maybe","Maybe","No","Maybe","Maybe","Yes","No","No","Yes","No","Yes","No","No","No","YouTube","3","4","3","3","3","","White Board;Live subtitles;Class Notification;Raise Hand during session;One to one Communication;Assignment Upload/Evaluation","There should be more options available other than yes and no","","","","","","","",""
"2020/05/02 11:06:03 pm GMT+5","Yes","Yes","Live Session","17-23","Male","Pakistan","Private","Comsats University","Undergraduate","Computer Science","Microsoft Teams","Windows;Android;IOS;Mac","Yes","No","Yes","No","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","YouTube","1","5","5","5","3","","Raise Hand during session;Quiz Upload/Evaluation","","","","","","","","",""
"2020/05/02 11:07:19 pm GMT+5","Yes","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020/05/02 11:08:13 pm GMT+5","Yes","Yes","Recorded","17-23","Male","Pakistan","Private","Comsats University Islamabad ","Undergraduate","Computer Engineering ","Zoom;Microsoft Teams","Windows;Android","No","Yes","Yes","Yes","Maybe","Yes","Maybe","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","No","YouTube","2","3","3","2","3","We can't understand the lesson properly, so they should not take the online classes. ","White Board;Class Notification;One to one Communication;Assignment Upload/Evaluation;Quiz Upload/Evaluation","","","","","","","","",""
"2020/05/02 11:08:28 pm GMT+5","Yes","Yes","Live Session","17-23","Female","Pakistan","Government","International Islamic University Islamabad","Undergraduate","Software engineering","GoToMeeting","Windows;Android","No","Yes","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","YouTube","1","2","1","1","1","","Live subtitles;Lecture materials;Sceduling of Classes;Class Notification;Raise Hand during session;One to one Communication;Assignment Upload/Evaluation;Quiz Upload/Evaluation","","","","","","","","",""
"2020/05/02 11:09:39 pm GMT+5","Yes","Yes","Live Session","17-23","Female","Pakistan","Government","Comsats University islamabad ","Graduate","Computer Science","Microsoft Teams","Windows","Yes","Yes","Yes","Maybe","Yes","Yes","Yes","Maybe","No","No","No","Yes","Yes","Yes","No","No","No","YouTube","1","3","1","1","1","","Screen Recording;White Board;Live subtitles;Class Notification","","","","","","","","",""
"2020/05/02 11:09:47 pm GMT+5","Yes","Yes","Recorded","17-23","Male","Pakistan","Government","Kmu institute of dental science ","Undergraduate","Bds","Zoom","Android","Yes","Yes","Yes","No","No","No","No","Maybe","Yes","Yes","No","Yes","Yes","No","No","No","Yes","YouTube","3","4","2","2","2","Network problem must be resolved ","Screen Recording;White Board;Live subtitles;Lecture materials;Sceduling of Classes;Raise Hand during session;Quiz Upload/Evaluation","Through the opinion of number of students we should come to know that what are the problem faced by students and what features should be added to a particular tool to help the students in their live session ","","","","","","","",""
"2020/05/02 11:11:35 pm GMT+5","Yes","Yes","Live Session","17-23","Female","Pakistan","Government","COMSATS University Islamabad","Graduate","Computer Science","Microsoft Teams","Windows","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","Coursera","5","5","5","2","2","There should be white board option and recorded video download option. I cannot download recorded video of online lecture to my laptop to watch it offline.","White Board;Attendance;Raise Hand during session","As you asked quiz question that if its feature is available or not then there is mandatory next question about quiz evaluation. Same is the case with assignment question. if quiz and assignment submission feature is not available then, there must not be next question about its evaluation. Two related questions that depend on yes or no that must not be mandatory. I hope it is helpful for your survey improvement. ","","","","","","","",""
"2020/05/02 11:11:42 pm GMT+5","Yes","Yes","Live Session","24-28","Female","Pakistan","Government","COMATS University Islamabad ","Graduate","Computer Science","Microsoft Teams","Windows","Yes","Yes","Yes","Maybe","Yes","Yes","Maybe","Maybe","Yes","No","No","No","Yes","Yes","No","No","Yes","Coursera","3","3","3","1","2","","Live subtitles","","","","","","","","",""
"2020/05/02 11:11:56 pm GMT+5","Yes","Yes","Recorded","24-28","Female","Pakistan","Private","International Islamic University islamabad","Undergraduate","Envirnonmental Science","WhatsApp","Mobile phones ","Yes","Yes","No","No","No","No","No","No","Yes","Yes","No","Yes","No","No","No","No","No","YouTube","3","4","2","3","4","Please ask teacher to use an live session ","Screen Sharing;Screen Recording;Live subtitles;Lecture materials;Sceduling of Classes;Class Notification;Attendance;Raise Hand during session;Assignment Upload/Evaluation;Quiz Upload/Evaluation","","","","","","","","",""
"2020/05/02 11:12:09 pm GMT+5","Yes","Yes","Live Session","24-28","Male","Pakistan","Government","Comsat university Islamabad ","Graduate","Computer Science","Microsoft Teams","Windows","Yes","Yes","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","Coursera","2","2","2","1","1","It's depend on teachers skills ","White Board;Live subtitles;Lecture materials;Sceduling of Classes;Class Notification;Attendance","","","","","","","","",""
"2020/05/02 11:12:38 pm GMT+5","Yes","Yes","Live Session","17-23","Female","Pakistan","Government","Iiui","Undergraduate","Computer Science","Zoom","Android","No","Yes","No","No","No","No","No","Maybe","Yes","No","No","No","No","No","No","No","No","YouTube","1","3","1","1","1","Give internet to students internet is the main problem","Live subtitles","","","","","","","","",""
"2020/05/02 11:12:51 pm GMT+5","Yes","Yes","Live Session","17-23","Male","Pakistan","Government","COMSAT University Islamabad Pakistan.","Postgraduate","Computer Science","Microsoft Teams","Android","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","No","Coursera","1","2","1","1","1","","Audio/Video Calling;Screen Sharing;Screen Recording;White Board;Live subtitles;Class Notification;Attendance","","","","","","","","",""
"2020/05/02 11:13:15 pm GMT+5","Yes","Yes","Recorded","17-23","Female","Pakistan","Government","Khyber college of dentistry peshawar.","Undergraduate","Medical","Google. Class room","Android","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes","No","No","No","YouTube","4","4","3","4","3"," By taking Online classes our time is not wasted but they are not as helpful as the classes that we take in University.","White Board","No need of improvement.","","","","","","","",""
"2020/05/02 11:13:39 pm GMT+5","Yes","Yes","Recorded","24-28","Female","Pakistan","Private","International Islamic University Islamabad ","Undergraduate","Envirnonmental Science","Zoom","Windows","Yes","Yes","No","No","Maybe","Yes","Maybe","Maybe","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","YouTube","1","3","2","3","3","Dont need online classes","Sceduling of Classes","It already has so much to deal with","","","","","","","",""
"2020/05/02 11:13:42 pm GMT+5","Yes","Yes","Live Session","17-23","Male","Pakistan","Government","Comsats university Islamabad ","Postgraduate","Mathematics","Microsoft Teams","Android","Yes","Yes","Yes","Maybe","Yes","Yes","Yes","Maybe","No","No","No","No","Yes","No","No","No","No","YouTube","2","2","1","1","1","Make pre video lectures first and send to all after this  attend the meeting class for discussion ","White Board",".","","","","","","","",""
"2020/05/02 11:13:57 pm GMT+5","Yes","Yes","Recorded","17-23","Female","Pakistan","Government","International islamic university islamabad","Undergraduate","Envirnonmental Science","Whatsapp, zoom, google class","IOS","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","Yes","No","Yes","No","No","Yes","YouTube","3","1","2","2","1","No online classes","Quiz Upload/Evaluation","Nothing","","","","","","","",""
"2020/05/02 11:14:02 pm GMT+5","Yes","Yes","Recorded","17-23","Female","Pakistan","Government","International Islamic University ","Undergraduate","Envirnonmental Science","Zoom","Windows","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","YouTube","3","4","4","4","4","","Screen Sharing","","","","","","","","",""
"2020/05/02 11:17:25 pm GMT+5","Yes","Yes","Live Session","17-23","Male","Pakistan","Private","SBM Islamabad","Graduate","Chartered Accountant","Zoom;Google Classroom","Windows;Android","Yes","Yes","No","No","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","YouTube","2","3","3","3","2","The student teacher interaction is lacking","Lecture materials","","","","","","","","",""
"2020/05/02 11:18:59 pm GMT+5","Yes","Yes","Live Session","17-23","Female","Pakistan","Government","Quaid e Azam University ","Undergraduate","Physics","Microsoft Teams","Android","Yes","Yes","Yes","No","Maybe","Yes","Maybe","Maybe","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","YouTube","4","3","4","3","3","","Lecture materials","","","","","","","","",""
"2020/05/02 11:19:43 pm GMT+5","Yes","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020/05/02 11:19:52 pm GMT+5","Yes","Yes","Recorded","17-23","Female","Pakistan","Government","KHYBER COLLEGE OF DENTISTRY PESHAWAR ","Graduate","Dentistry ","Google classroom ","Android","Yes","No","Yes","No","Yes","Yes","Maybe","Maybe","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","YouTube","3","4","3","4","2","","Attendance","","","","","","","","",""
"2020/05/02 11:20:42 pm GMT+5","Yes","Yes","Live Session","17-23","Female","Pakistan","Government","Comsats","Graduate","Computer Science","Microsoft Teams","Android","Yes","Yes","Yes","Maybe","Yes","No","Yes","Maybe","Yes","No","Yes","No","No","No","No","No","No","YouTube","1","3","1","1","1","","Audio/Video Calling;Live subtitles;Chat Room;Class Notification","","","","","","","","",""
"2020/05/02 11:26:48 pm GMT+5","Yes","Yes","Recorded","17-23","Male","Pakistan","Government","Medicle colege","Doctorate","Mbbs","Zoom;Whatsaap","Android","Yes","Yes","No","No","No","No","No","No","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","YouTube","4","1","2","1","2","We dont have all classes","Lecture materials","How many subjects lectres you have been delivered in a day","","","","","","","",""
"2020/05/02 11:27:00 pm GMT+5","Yes","Yes","Live Session","17-23","Male","Pakistan","Government","COMSATS University Islamabad","Undergraduate","Computer Science","Microsoft Teams","Windows;Android;IOS;Mac;Linux","No","Yes","Yes","Maybe","Yes","Yes","No","No","Yes","No","No","Yes","Yes","Yes","No","No","Yes","YouTube","3","5","4","2","3","","White Board;Attendance;Raise Hand during session","","","","","","","","",""
"2020/05/02 11:27:25 pm GMT+5","Yes","Yes","Live Session","24-28","Male","Pakistan","Private","COMSATS INSTITUTE OF INFORMATION TECHNOLOGY ISLAMABAD","Postgraduate","Software Engineering","Microsoft Teams","Windows","Yes","Yes","Yes","Yes","Yes","Yes","Maybe","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Coursera","4","5","4","3","3","","White Board","","","","","","","","",""
"2020/05/02 11:29:38 pm GMT+5","Yes","Yes","Live Session","17-23","Female","Pakistan","Government","International Islamic University Islamabad","Undergraduate","Computer Science","GoToMeeting","Android","Yes","Yes","Yes","Maybe","Maybe","No","Maybe","Maybe","Yes","Yes","No","No","No","No","No","No","No","YouTube","2","5","3","3","3","","White Board;Live subtitles;Class Notification;Raise Hand during session;Quiz Upload/Evaluation","","","","","","","","",""
"2020/05/02 11:31:50 pm GMT+5","Yes","Yes","Recorded","17-23","Female","Pakistan","Private","International islamic university Islamabad ","Undergraduate","Envirnonmental Science","WhatsApp and zoom","Android","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","YouTube","4","4","4","4","1","No","Sceduling of Classes","Nothing","","","","","","","",""
"2020/05/02 11:32:48 pm GMT+5","Yes","Yes","Live Session","24-28","Male","Pakistan","Government","COMSATS ISLAMABAD","Postgraduate","Computer Science","Microsoft Teams","Windows;Android","No","Yes","Yes","No","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","YouTube","1","4","1","1","1","Cameras and mic stay off during lecture and still the voice and video quality is really bad and can understand well anything 
Some teachers also don't know how to use the tool properly .
So please just stop these classes.
It is completely useless and going against our interest and education.","Raise Hand during session","","","","","","","","",""
"2020/05/02 11:33:06 pm GMT+5","Yes","Yes","Live Session","24-28","Male","Pakistan","Private","COMSATS Institute of Information Technology","Postgraduate","Computer Science","Microsoft Teams","Windows","Yes","Yes","No","Maybe","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","No","No","No","YouTube","1","2","2","2","2","Am disappointed because of network problems ","Attendance","","","","","","","","",""
"2020/05/02 11:35:13 pm GMT+5","Yes","Yes","Live Session","24-28","Male","Pakistan","Government","Comsats, Islamabad","Postgraduate","Software Engineering","Microsoft Teams","Windows;Android","No","Yes","No","No","No","Yes","No","No","Yes","No","No","Yes","No","No","No","No","No","Poor Internet so no help","1","3","1","1","1","No suggestion because internet service is very poor","Screen Recording;Lecture materials;Sceduling of Classes;Class Notification;Raise Hand during session","Its better","","","","","","","",""
"2020/05/02 11:36:38 pm GMT+5","Yes","Yes","Recorded","17-23","Male","Pakistan","Government","kmu institute of dental sciences kohat","Graduate","dentistry","yutube","Android","Yes","Yes","No","No","No","No","No","No","No","No","No","Yes","No","Yes","No","No","No","YouTube","2","2","2","2","2","Every student should be facilitated first with proper device to attend the class","White Board","collect data of students from every college and contact them personaly","","","","","","","",""
"2020/05/02 11:36:41 pm GMT+5","Yes","Yes","Live Session","24-28","Female","Pakistan","Private","University of sialkot ","Postgraduate","Computer Science","Zoom","Windows;Android;IOS","Yes","Yes","Yes","No","No","No","Maybe","Maybe","Yes","No","No","Yes","Yes","No","No","Yes","No","YouTube","4","5","4","4","3","Internet facility and increase in session time","Class Notification","Its fine","","","","","","","",""
"2020/05/02 11:37:44 pm GMT+5","Yes","Yes","Recorded","17-23","Male","Pakistan","Government","Kmu institute of dental science","Doctorate","Dental Material","Zoom","Android","Yes","Yes","No","No","Yes","No","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes","No","YouTube","1","1","3","1","1","Online classes should be stop ","Live subtitles;Chat Room;Class Notification","Data should be safe","","","","","","","",""
"2020/05/02 11:38:38 pm GMT+5","Yes","Yes","Live Session","24-28","Female","Pakistan","Private","Comsats university, Islamabad","Graduate","Computer Science","Microsoft Teams","Windows;Android","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","No","Yes","No","Yes","No","No","Yes","YouTube","1","4","1","1","2","","White Board;Live subtitles;Raise Hand during session;One to one Communication","","","","","","","","",""
"2020/05/02 11:39:49 pm GMT+5","Yes","Yes","Recorded","17-23","Female","Pakistan","Private","Iiui","Undergraduate","Computer Science","GoToMeeting","Windows","Yes","Yes","No","No","No","No","No","No","Yes","Yes","No","No","Yes","No","No","Yes","No","YouTube","1","1","1","1","1","","White Board","","","","","","","","",""
"2020/05/02 11:40:13 pm GMT+5","Yes","Yes","Live Session","17-23","Female","Pakistan","Government","COMSATS University Islamabad","Graduate","Software Engineering","Microsoft Teams","Windows;Android","Yes","Yes","Yes","Yes","Yes","Yes","Maybe","Maybe","Yes","No","No","Yes","Yes","Yes","No","No","Yes","Books","2","4","4","3","5","Assignments need to be given with longer deadlines as it is difficult to work on assignments at home especially with the electricity load shedding and internet issues. Instructors need to be flexible with quiz checking and assignments submissions during this time.","White Board","N/A","","","","","","","",""
"2020/05/02 11:40:21 pm GMT+5","Yes","Yes","Live Session","24-28","Female","Pakistan","Private","NUST","Postgraduate","Information security","Microsoft Teams","Windows;Android","Yes","No","Yes","Maybe","Yes","Yes","Maybe","Maybe","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","YouTube","5","5","4","5","4","","White Board;Attendance;Raise Hand during session;Quiz Upload/Evaluation","","","","","","","","",""
"2020/05/02 11:40:48 pm GMT+5","Yes","Yes","Recorded","17-23","Female","Pakistan","Government","Khyber college of dentestry ","Undergraduate","Bds","Google classroom","Android","Yes","Yes","Yes","Maybe","Yes","Yes","No","No","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","YouTube","3","4","4","4","3","","White Board","","","","","","","","",""
"2020/05/02 11:42:54 pm GMT+5","Yes","Yes","Recorded","17-23","Female","Pakistan","Government","Islamic University Islamabad ","Undergraduate","Envirnonmental Science","Zoom","Windows","Yes","No","No","Maybe","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","No","Yes","No","YouTube","3","3","3","2","1","Nothing","Screen Sharing;Screen Recording;Sceduling of Classes;Class Notification;Assignment Upload/Evaluation;Quiz Upload/Evaluation","Nothing ","","","","","","","",""
"2020/05/02 11:43:24 pm GMT+5","Yes","Yes","Live Session","17-23","Male","Pakistan","Private","Ben 10 Academy","Doctorate","Islamic Studies","Ding Tank","Boobla OS","No","No","Yes","No","Yes","Yes","No","Maybe","Yes","Yes","Yes","No","No","No","Yes","No","Yes","Boobla Academy","5","5","1","3","3","Use Boobla Acacdemy","Student Electrocution","Use Boobla Forms","","","","","","","",""
"2020/05/02 11:47:19 pm GMT+5","Yes","Yes","Recorded","17-23","Female","Pakistan","Private","International Islamic University Islamabad ","Undergraduate","Envirnonmental Science","Zoom","Android","Yes","Yes","No","Maybe","Yes","Yes","No","Maybe","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","YouTube","4","3","2","2","2","","Lecture materials;Sceduling of Classes;Class Notification;Attendance;One to one Communication;Assignment Upload/Evaluation","","","","","","","","",""
"2020/05/02 11:47:55 pm GMT+5","Yes","Yes","Live Session","24-28","Male","Pakistan","Private","University of Lahore","Undergraduate","Business","Zoom","Android","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","YouTube","5","4","4","4","4","Improvement of audio calling","Live subtitles","No idea","","","","","","","",""
"2020/05/02 11:47:59 pm GMT+5","Yes","Yes","Live Session","17-23","Female","Pakistan","Government","international Islamic University Islamabad ","Undergraduate","software engineering ","Zoom;GoToMeeting","Windows;Android","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","YouTube","1","1","1","1","1","","Quiz Upload/Evaluation","","","","","","","","",""
"2020/05/02 11:48:18 pm GMT+5","Yes","Yes","Live Session","17-23","Male","Pakistan","Private","Abbasyn univercity islamabad compus","Graduate","Computer Science","Zoom;Google Meet;Skype","Android;IOS","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","YouTube","3","2","2","3","2","I am not in favour of online classes","Audio/Video Calling;Screen Sharing","Share in whatsapp groups","","","","","","","",""
"2020/05/02 11:48:58 pm GMT+5","Yes","Yes","Live Session","17-23","Female","Pakistan","Private","Saida Waheed Fmh College of Nursing","Graduate","Nursing","Zoom","Windows","Yes","Yes","Yes","No","Maybe","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","YouTube","3","4","3","2","2","","Audio/Video Calling;Screen Recording;Sceduling of Classes;Class Notification;Attendance","","","","","","","","",""
"2020/05/02 11:49:26 pm GMT+5","Yes","Yes","Live Session","17-23","Male","Pakistan","Government","COMSATS UNIVERSITY ISLAMABAD","Undergraduate","Computer Science","Microsoft Teams","Windows","Yes","Yes","Yes","Maybe","Yes","No","No","No","Yes","No","No","No","Yes","Yes","No","No","No","YouTube","3","3","2","1","3","Add the missing features mentioned above. Also better internet would be quiet welcoming too.","White Board;Live subtitles;Class Notification;Attendance;Raise Hand during session;One to one Communication;Quiz Upload/Evaluation","Dont know really.","","","","","","","",""
"2020/05/02 11:49:59 pm GMT+5","Yes","Yes","Live Session","24-28","Male","Pakistan","Private","Comsats Islamabad","Graduate","Computer Science","Microsoft Teams","Windows;Android","Yes","Yes","Yes","No","Maybe","Yes","Maybe","Maybe","Yes","No","No","Yes","No","No","No","No","Yes","YouTube","3","4","2","1","2","Main Issue is internet speed, it must be solved.","Audio/Video Calling;Screen Sharing;Screen Recording;White Board;Live subtitles;Chat Room;Lecture materials;Sceduling of Classes;Class Notification;Attendance;Raise Hand during session;One to one Communication;Assignment Upload/Evaluation;Quiz Upload/Evaluation","Good Effort. Keep it up.","","","","","","","",""
"2020/05/02 11:50:17 pm GMT+5","Yes","Yes","Recorded","17-23","Female","Pakistan","Government","Khyber college of dentistry","Undergraduate","Dentistry","Google classroom","Windows","Yes","No","No","No","Yes","Yes","Maybe","Maybe","Yes","Yes","No","Yes","No","Yes","No","No","Yes","YouTube","3","4","3","4","2","","Audio/Video Calling;Screen Sharing;White Board;Chat Room","","","","","","","","",""
"2020/05/02 11:51:51 pm GMT+5","Yes","Yes","Live Session","17-23","Male","Pakistan","Private","Comsats University ","Graduate","Computer Science","Zoom","Windows","Yes","Yes","Yes","No","No","No","No","No","Yes","No","Yes","Yes","Yes","No","No","No","Yes","YouTube","1","5","4","3","3","I'm not in fever of online classes ","Audio/Video Calling;Screen Sharing;White Board;Live subtitles","","","","","","","","",""
"2020/05/02 11:53:27 pm GMT+5","Yes","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020/05/02 11:54:16 pm GMT+5","Yes","Yes","Live Session","17-23","Male","Pakistan","Private","Comsats Islamabad","Undergraduate","Electrical Engineering","Microsoft Teams","Windows;Android","No","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","YouTube","1","1","1","1","1","","White Board","","","","","","","","",""
"2020/05/02 11:54:49 pm GMT+5","Yes","Yes","Live Session","24-28","Male","Pakistan","Government","University of sargodha ","Postgraduate","Library and information sciences ","Zoom","Android","Yes","No","Yes","Yes","Yes","Yes","Maybe","Maybe","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","YouTube","3","3","3","3","3","","Screen Sharing;Lecture materials;Assignment Upload/Evaluation","Through multiple studies ","","","","","","","",""
"2020/05/02 11:55:20 pm GMT+5","Yes","Yes","Live Session","17-23","Male","Pakistan","Government","COMSATS UNIVERSITY ISLAMABAD","Undergraduate","Computer Science","Microsoft Teams","Windows;Android;IOS;Mac;Linux","Yes","No","Yes","No","Yes","Yes","Maybe","Maybe","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","YouTube","3","4","4","5","2","","Live subtitles;Raise Hand during session","","","","","","","","",""
"2020/05/02 11:56:21 pm GMT+5","Yes","Yes","Recorded","17-23","Female","Pakistan","Government","College of Nursing, Nishter University & hospital, Multan","Graduate","Generic nursing","Google Hangout","Android","Yes","Yes","Yes","Maybe","No","No","Maybe","Maybe","No","No","No","No","Yes","No","No","No","No","YouTube","3","3","3","2","2","","Audio/Video Calling","","","","","","","","",""
"2020/05/02 11:56:29 pm GMT+5","Yes","Yes","Live Session","17-23","Male","Pakistan","Government","CUI","Undergraduate","Computer Science","Microsoft Teams","Windows;Android;Mac","Yes","No","Yes","Maybe","Yes","Yes","Maybe","Maybe","Yes","No","No","Yes","Yes","Yes","No","No","Yes","YouTube","1","5","3","4","3","","Sceduling of Classes","","","","","","","","",""
"2020/05/03 12:02:56 am GMT+5","Yes","Yes","Live Session","24-28","Female","Pakistan","Private","Inteenational Islamic University Islamabad","Undergraduate","Envirnonmental Science","Whatsapp","Android","Yes","No","Yes","Yes","Yes","Yes","Maybe","Maybe","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","YouTube","5","5","5","5","3","Satisfied ","White Board","","","","","","","","",""
"2020/05/03 12:02:59 am GMT+5","Yes","Yes","Recorded","17-23","Male","Pakistan","Government","Khyber college of dentistry","Undergraduate","Dentistry","Google classroom","Android","No","No","Yes","Maybe","Yes","Yes","Maybe","Maybe","Yes","No","No","No","No","Yes","No","No","Yes","YouTube","1","4","2","4","1","","Quiz Upload/Evaluation","","","","","","","","",""
